Model Y,25.99-35.99万,特斯拉中国,49877,
海鸥,7.38-8.98万,比亚迪,40594,
轩逸,9.98-17.49万,东风日产,39105,
秦PLUS,9.98-17.98万,比亚迪,38054,
宋PLUS新能源,15.48-21.99万,比亚迪,34904,
元PLUS,13.58-16.78万,比亚迪,30751,
速腾,12.79-17.29万,一汽-大众,29680,
朗逸,9.40-15.19万,上汽大众,29009,
海豚,11.68-13.98万,比亚迪,26580,
五菱缤果,5.98-8.88万,上汽通用五菱,24024,
哈弗H6,9.89-15.70万,长城汽车,23291,
宏光MINIEV,3.28-9.99万,上汽通用五菱,22985,
AION Y,11.98-18.98万,广汽埃安,22355,
星越L,13.72-18.52万,吉利汽车,22207,
汉,18.98-33.18万,比亚迪,20815,
宋Pro新能源,12.98-16.58万,比亚迪,20317,
锋兰达,12.58-18.48万,广汽丰田,20044,
凯美瑞,17.98-26.98万,广汽丰田,19783,
帕萨特,18.19-25.29万,上汽大众,18910,
长安CS75 PLUS,11.79-15.49万,长安汽车,18494,
迈腾,18.69-30.99万,一汽-大众,18390,
奥迪A6L,42.79-65.68万,一汽-大众奥迪,18253,
RAV4荣放,17.58-26.38万,一汽丰田,17486,
本田CR-V,16.98-27.68万,东风本田,17455,
问界M7,25.80-37.98万,赛力斯汽车,17039,
长安Lumin,4.99-6.99万,长安汽车,16671,
星瑞,10.87-14.57万,吉利汽车,16630,
途观L,19.87-26.08万,上汽大众,16617,
理想L7,31.98-37.98万,理想,16599,
奔驰C级,33.23-37.90万,北京奔驰,16000,
宝马5系,43.65-56.25万,华晨宝马,15993,
Model 3,25.99-29.59万,特斯拉中国,15627,
思域,12.99-18.79万,东风本田,15411,
熊猫,2.99-5.69万,吉利汽车,15188,
帝豪,6.99-12.98万,吉利汽车,14937,
雅阁,16.98-25.98万,广汽本田,14849,
卡罗拉锐放,12.98-18.48万,一汽丰田,13521,
瑞虎8,9.78-16.29万,奇瑞汽车,13407,
卡罗拉,10.98-15.98万,一汽丰田,13343,
海豹,16.68-27.98万,比亚迪,13060,
威兰达,17.38-26.48万,广汽丰田,12932,
宝马3系,29.99-39.99万,华晨宝马,12858,
奥迪A4L,32.18-40.08万,一汽-大众奥迪,12795,
皓影,18.59-26.39万,广汽本田,12690,
